timestamp,value,classification,date,classification_score,next_state,return,hour
2018-02-01 05:30:00,30,Fear,2018-02-01,-1.0,Extreme Fear,-0.5,5
2018-02-02 05:30:00,15,Extreme Fear,2018-02-02,-2.0,Fear,1.6666666666666665,5
2018-02-03 05:30:00,40,Fear,2018-02-03,-1.0,Extreme Fear,-0.4,5
2018-02-04 05:30:00,24,Extreme Fear,2018-02-04,-2.0,Extreme Fear,-0.5416666666666667,5
2018-02-05 05:30:00,11,Extreme Fear,2018-02-05,-2.0,Extreme Fear,-0.2727272727272727,5
2018-02-06 05:30:00,8,Extreme Fear,2018-02-06,-2.0,Fear,3.5,5
2018-02-07 05:30:00,36,Fear,2018-02-07,-1.0,Fear,-0.16666666666666663,5
2018-02-08 05:30:00,30,Fear,2018-02-08,-1.0,Fear,0.46666666666666656,5
2018-02-09 05:30:00,44,Fear,2018-02-09,-1.0,Neutral,0.2272727272727273,5
2018-02-10 05:30:00,54,Neutral,2018-02-10,0.0,Fear,-0.42592592592592593,5
2018-02-11 05:30:00,31,Fear,2018-02-11,-1.0,Fear,0.35483870967741926,5
2018-02-12 05:30:00,42,Fear,2018-02-12,-1.0,Fear,-0.16666666666666663,5
2018-02-13 05:30:00,35,Fear,2018-02-13,-1.0,Greed,0.5714285714285714,5
2018-02-14 05:30:00,55,Greed,2018-02-14,1.0,Greed,0.290909090909091,5
2018-02-15 05:30:00,71,Greed,2018-02-15,1.0,Greed,-0.05633802816901412,5
2018-02-16 05:30:00,67,Greed,2018-02-16,1.0,Greed,0.10447761194029859,5
2018-02-17 05:30:00,74,Greed,2018-02-17,1.0,Greed,-0.14864864864864868,5
2018-02-18 05:30:00,63,Greed,2018-02-18,1.0,Greed,0.06349206349206349,5
2018-02-19 05:30:00,67,Greed,2018-02-19,1.0,Greed,0.10447761194029859,5
2018-02-20 05:30:00,74,Greed,2018-02-20,1.0,Neutral,-0.2702702702702703,5
2018-02-21 05:30:00,54,Neutral,2018-02-21,0.0,Fear,-0.18518518518518523,5
2018-02-22 05:30:00,44,Fear,2018-02-22,-1.0,Fear,-0.11363636363636365,5
2018-02-23 05:30:00,39,Fear,2018-02-23,-1.0,Fear,-0.20512820512820518,5
2018-02-24 05:30:00,31,Fear,2018-02-24,-1.0,Fear,0.06451612903225801,5
2018-02-25 05:30:00,33,Fear,2018-02-25,-1.0,Fear,0.1212121212121211,5
2018-02-26 05:30:00,37,Fear,2018-02-26,-1.0,Fear,0.18918918918918926,5
2018-02-27 05:30:00,44,Fear,2018-02-27,-1.0,Fear,-0.06818181818181823,5
2018-02-28 05:30:00,41,Fear,2018-02-28,-1.0,Fear,-0.07317073170731703,5
2018-03-01 05:30:00,38,Fear,2018-03-01,-1.0,Neutral,0.23684210526315796,5
2018-03-02 05:30:00,47,Neutral,2018-03-02,0.0,Greed,0.1914893617021276,5
2018-03-03 05:30:00,56,Greed,2018-03-03,1.0,Fear,-0.2142857142857143,5
2018-03-04 05:30:00,44,Fear,2018-03-04,-1.0,Greed,0.25,5
2018-03-05 05:30:00,55,Greed,2018-03-05,1.0,Greed,0.07272727272727275,5
2018-03-06 05:30:00,59,Greed,2018-03-06,1.0,Fear,-0.3728813559322034,5
2018-03-07 05:30:00,37,Fear,2018-03-07,-1.0,Fear,0.054054054054053946,5
2018-03-08 05:30:00,39,Fear,2018-03-08,-1.0,Fear,-0.05128205128205132,5
2018-03-09 05:30:00,37,Fear,2018-03-09,-1.0,Fear,0.054054054054053946,5
2018-03-10 05:30:00,39,Fear,2018-03-10,-1.0,Fear,0.02564102564102555,5
2018-03-11 05:30:00,40,Fear,2018-03-11,-1.0,Fear,0.02499999999999991,5
2018-03-12 05:30:00,41,Fear,2018-03-12,-1.0,Fear,0.0,5
2018-03-13 05:30:00,41,Fear,2018-03-13,-1.0,Fear,-0.024390243902439046,5
2018-03-14 05:30:00,40,Fear,2018-03-14,-1.0,Fear,-0.19999999999999996,5
2018-03-15 05:30:00,32,Fear,2018-03-15,-1.0,Fear,0.03125,5
2018-03-16 05:30:00,33,Fear,2018-03-16,-1.0,Fear,-0.06060606060606055,5
2018-03-17 05:30:00,31,Fear,2018-03-17,-1.0,Fear,-0.06451612903225812,5
2018-03-18 05:30:00,29,Fear,2018-03-18,-1.0,Fear,0.0,5
2018-03-19 05:30:00,29,Fear,2018-03-19,-1.0,Fear,0.27586206896551735,5
2018-03-20 05:30:00,37,Fear,2018-03-20,-1.0,Fear,-0.027027027027026973,5
2018-03-21 05:30:00,36,Fear,2018-03-21,-1.0,Fear,0.0,5
2018-03-22 05:30:00,36,Fear,2018-03-22,-1.0,Fear,-0.2222222222222222,5
2018-03-23 05:30:00,28,Fear,2018-03-23,-1.0,Fear,0.1428571428571428,5
2018-03-24 05:30:00,32,Fear,2018-03-24,-1.0,Fear,-0.0625,5
2018-03-25 05:30:00,30,Fear,2018-03-25,-1.0,Fear,0.03333333333333344,5
